,gpa,act,sat1,test_score,ap_count,ap_mean,sat2_count,sat2_mean,urm,first_generation,ec_count,decision,gender_F,gender_M,school_brown,school_columbia,school_cornell,school_dukeres,school_harvard,school_mitres,school_penn,school_princeton,school_stanford,school_uchicago,school_yale,test_type_act,test_type_sat,ethnicity_african,ethnicity_asian,ethnicity_caucasian,ethnicity_hispanic,ethnicity_indian,ethnicity_urm,country_US,country_international
100,3.982,34.0,2130.0,2250,9.0,3.88888888889,2.0,775.0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0
101,4.0,32.0,2100.0,2120,4.0,4.0,2.0,680.0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
102,4.0,36.0,2380.0,2390,2.0,4.45675812368,1.0,800.0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0
103,3.6,35.0,2237.40362087,2330,9.0,4.11111111111,2.0,770.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
104,3.97,33.3991698374,2120.0,2120,5.0,4.4,3.0,780.0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0
105,3.973,33.3991698374,2080.0,2080,4.0,4.75,2.0,750.0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0
106,3.06,30.0,2110.0,2110,6.0,3.16666666667,2.0,700.0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0
107,4.0,33.3991698374,2140.0,2140,5.0,4.2,2.0,705.0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0
108,4.0,33.3991698374,2210.0,2210,4.0,3.75,2.0,775.0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0
109,3.86143710629,33.3991698374,2180.0,2180,0.0,4.45675812368,2.0,780.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0
110,4.0,29.0,2020.0,2020,0.0,4.45675812368,2.0,765.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1
112,4.0,35.0,2310.0,2330,8.0,5.0,3.0,793.333333333,0,0,3,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0
113,3.6,33.3991698374,2300.0,2300,6.0,5.0,2.0,800.0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
114,3.86143710629,33.3991698374,2330.0,2330,0.0,4.45675812368,3.0,800.0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0
115,3.86143710629,36.0,2237.40362087,2390,0.0,4.45675812368,2.0,795.0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0
116,4.0,35.0,2350.0,2350,1.0,5.0,3.0,800.0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0
118,4.0,33.3991698374,2150.0,2150,3.0,4.33333333333,3.0,773.333333333,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0
119,3.98,33.3991698374,2100.0,2100,7.0,4.28571428571,2.0,750.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0
120,4.0,33.0,2040.0,2180,5.0,4.6,3.0,780.0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0
121,3.76,33.3991698374,2360.0,2360,12.0,4.45675812368,2.0,770.0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0
122,3.86143710629,33.3991698374,2260.0,2260,0.0,4.45675812368,1.0,757.780283204,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
123,3.98,33.3991698374,2270.0,2270,1.0,3.0,2.0,755.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0
124,3.98,33.3991698374,2250.0,2250,3.0,4.33333333333,2.0,745.0,1,0,3,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0
125,4.0,33.3991698374,2370.0,2370,13.0,4.38461538462,3.0,800.0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0
