,gpa,act,sat1,test_score,ap_count,ap_mean,sat2_count,sat2_mean,urm,first_generation,ec_count,decision,gender_F,gender_M,school_brown,school_columbia,school_cornell,school_dukeres,school_harvard,school_mitres,school_penn,school_princeton,school_stanford,school_uchicago,school_yale,test_type_act,test_type_sat,ethnicity_african,ethnicity_asian,ethnicity_caucasian,ethnicity_hispanic,ethnicity_indian,ethnicity_urm,country_US,country_international
2752,3.9,33.3991698374,2030.0,2030,3.0,4.33333333333,2.0,705.0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0
2753,3.98,32.0,2237.40362087,2120,0.0,4.45675812368,0.0,757.780283204,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0
2754,3.88,34.0,2040.0,2250,5.0,4.2,2.0,680.0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0
2755,3.6,33.3991698374,2300.0,2300,6.0,5.0,2.0,800.0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
2756,3.7,33.3991698374,2370.0,2370,2.0,4.5,4.0,737.5,0,0,4,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0
2757,4.0,36.0,2237.40362087,2390,1.0,5.0,3.0,770.0,0,0,3,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0
2759,3.97,35.0,2237.40362087,2330,0.0,4.45675812368,2.0,755.0,0,0,2,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0
2760,3.6,35.0,2237.40362087,2330,9.0,4.11111111111,2.0,770.0,0,0,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0
2761,3.89,35.0,2380.0,2380,2.0,4.5,3.0,770.0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0
2762,4.0,35.0,2330.0,2330,1.0,5.0,3.0,776.666666667,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0
2764,4.0,33.3991698374,2200.0,2200,5.0,3.6,3.0,760.0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0
2765,4.0,35.0,2290.0,2330,7.0,4.57142857143,3.0,776.666666667,0,0,4,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0
2766,3.8,34.0,2050.0,2250,0.0,4.45675812368,2.0,650.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0
2767,3.86143710629,33.0,2020.0,2180,12.0,3.83333333333,3.0,696.666666667,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0
2768,3.9,35.0,2130.0,2330,4.0,4.5,2.0,735.0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0
2769,3.86143710629,33.3991698374,2050.0,2050,0.0,4.45675812368,2.0,765.0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1
2770,3.7,33.3991698374,2370.0,2370,3.0,4.66666666667,3.0,760.0,0,0,3,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0
2771,3.9,35.0,2130.0,2330,4.0,4.5,2.0,735.0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0
2772,4.0,33.3991698374,2360.0,2360,5.0,4.2,2.0,795.0,0,0,2,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0
2773,3.94,33.0,2237.40362087,2180,2.0,4.5,2.0,755.0,0,0,4,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0
2774,4.0,30.0,1780.0,2000,3.0,4.0,3.0,683.333333333,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0
2776,3.15,36.0,2340.0,2390,1.0,5.0,3.0,783.333333333,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0
2777,3.92,34.0,2237.40362087,2250,3.0,5.0,3.0,680.0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0
2778,3.86143710629,33.3991698374,2230.0,2230,2.0,5.0,2.0,710.0,0,0,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0
2779,3.95,33.3991698374,2400.0,2400,7.0,4.71428571429,2.0,800.0,0,1,3,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0
2780,3.84,33.0,1890.0,2180,3.0,3.33333333333,2.0,770.0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0
2781,3.991,33.3991698374,2310.0,2310,8.0,4.75,2.0,800.0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0
2783,3.72,33.3991698374,2280.0,2280,1.0,4.45675812368,2.0,780.0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0
2784,3.875,34.0,2240.0,2250,3.0,4.0,2.0,775.0,0,1,2,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0
2786,3.97,33.3991698374,2250.0,2250,1.0,5.0,3.0,770.0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0
2787,4.0,34.0,2310.0,2310,5.0,4.8,2.0,750.0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0
2788,4.0,35.0,2220.0,2330,1.0,5.0,3.0,800.0,0,0,3,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0
2789,4.1631,33.3991698374,2350.0,2350,0.0,4.45675812368,3.0,793.333333333,0,0,2,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0
2791,4.0,32.0,2237.40362087,2120,0.0,4.45675812368,0.0,757.780283204,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0
2792,3.96,33.3991698374,2400.0,2400,6.0,5.0,3.0,770.0,0,0,4,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0
2793,3.805,31.0,2237.40362087,2060,4.0,4.25,0.0,757.780283204,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0
2794,3.92,36.0,2370.0,2390,6.0,2.5,4.0,770.0,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0
2795,3.875,33.0,2280.0,2280,2.0,2.5,3.0,706.666666667,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0
2796,3.74,34.0,2300.0,2300,4.0,4.75,3.0,770.0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0
2798,3.8,36.0,2360.0,2390,14.0,4.45675812368,2.0,765.0,0,0,3,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0
2799,4.0,34.0,2090.0,2250,7.0,4.85714285714,2.0,795.0,0,0,2,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0
2800,3.83,33.3991698374,2270.0,2270,2.0,5.0,5.0,696.0,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0
2802,3.73,35.0,2237.40362087,2330,4.0,4.5,2.0,685.0,0,0,3,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0
2803,4.0,35.0,2210.0,2330,3.0,5.0,3.0,786.666666667,1,0,2,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0
2804,3.97,33.0,2140.0,2180,4.0,4.25,2.0,735.0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0
2806,3.9,33.3991698374,2290.0,2290,9.0,4.11111111111,2.0,700.0,1,0,2,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0
2807,3.86,36.0,2237.40362087,2390,1.0,4.45675812368,2.0,795.0,0,0,4,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0
2808,3.77,36.0,2260.0,2390,3.0,4.0,2.0,780.0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0
2809,3.51,33.3991698374,2320.0,2320,4.0,4.75,2.0,795.0,0,0,3,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0
2810,3.76,34.0,2100.0,2250,5.0,4.2,3.0,706.666666667,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0
2811,3.86143710629,33.3991698374,1970.0,1970,4.0,3.75,2.0,705.0,1,0,4,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0
2812,3.92,32.0,1930.0,2120,0.0,4.45675812368,0.0,757.780283204,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0
2814,4.0,33.3991698374,2230.0,2230,3.0,5.0,4.0,790.0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0
2815,3.98,33.3991698374,2320.0,2320,6.0,4.83333333333,3.0,780.0,0,0,2,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0
2816,4.0,35.0,2237.40362087,2330,8.0,4.375,2.0,800.0,0,0,3,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0
2817,3.5,33.3991698374,2250.0,2250,2.0,4.5,3.0,720.0,1,0,4,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0
2818,3.8,31.0,2280.0,2280,3.0,4.66666666667,3.0,703.333333333,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0
2819,4.0,35.0,2170.0,2330,5.0,4.4,3.0,773.333333333,0,0,3,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0
2820,3.65,32.0,2237.40362087,2120,6.0,3.66666666667,0.0,757.780283204,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0
2823,3.88,33.0,2237.40362087,2180,3.0,5.0,1.0,800.0,1,0,4,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0
2824,3.75,30.0,2160.0,2160,4.0,3.5,2.0,705.0,0,0,2,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1
2825,3.84,33.3991698374,2400.0,2400,6.0,4.83333333333,3.0,790.0,0,0,3,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0
2826,3.869,36.0,2150.0,2390,6.0,4.83333333333,2.0,795.0,0,0,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0
2827,4.0,33.0,2140.0,2180,2.0,3.5,2.0,695.0,0,0,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0
2828,3.9,34.0,2340.0,2340,5.0,4.2,3.0,786.666666667,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0
2829,3.78,34.0,2237.40362087,2250,9.0,3.88888888889,4.0,780.0,0,0,3,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0
2830,3.7,33.3991698374,2280.0,2280,6.0,4.0,5.0,778.0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0
2831,4.0,33.3991698374,2360.0,2360,7.0,4.85714285714,4.0,772.5,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0
