,act,gpa,ap,ib,sat1,sat2,income,rank,gender,ethnicity,decision,state,country,urm,first_generation,editor-in-chief,founder,president,captain,siemens,intel,presidential_scholar,national_merit,ap_scholar,aime,imo,national_achievement
3525,0,3.5,"[4, 5, 5]",0,0,"[780, 750]",N/A,0.0,M,caucasian,A,ny,US,,,,True,True,,,,,,True,,,
3526,0,3.59,[5],0,2280,"[750, 720]",N/A,0.0,M,caucasian,D,nj,US,,,,,,,,,,True,,,,
3527,0,4.0,"[4, 4, 5, 4, 3]",0,2290,"[800, 780, 750]",middle,0.0,F,asian,A,ny,US,,,,,True,,,,,,True,,,
3528,34,7.0,0,0,2160,"[800, 800]",N/A,0.0,M,indian,R,,US,,,,,,True,,,,,,,,
3529,0,3.83,"[4, 5, 4, 4, 4, 4]",0,2160,"[650, 700, 740]",lower,0.0544262295082,F,asian,D,tx,US,,,,True,,,,,,,,,,
3530,0,3.67,"[5, 4, 4]",0,2310,"[800, 700]",upper-middle,0.0,M,asian,R,ca,US,,,,,,True,,,,,True,,,
3531,0,3.8,"[5, 5, 5, 4, 4]",0,2400,"[800, 800]",N/A,0.1,M,asian,D,nj,US,,,,,,,,,,True,True,True,,
3532,31,4.0,"[5, 5]",0,2130,[],N/A,0.1,F,asian,A,hi,US,,,,True,True,True,,,,,,,,
3533,0,3.9,"[4, 3, 3]",0,2040,[],middle,0.04,F,asian,A,tx,US,,,,,,,,,,,,,,
3534,0,3.9,"[9, 4]",0,2290,0,N/A,0.0,F,asian,A,ct,US,,,,,,True,,,,True,True,,,
3535,0,3.8,0,0,0,"[800, 780, 740]",upper,0.2,F,asian,,,US,,,,,,,,,,,,,,
3536,0,3.977,"[2, 4]",0,2120,"[800, 740]",lower,0.0,F,asian,D,nj,US,,,,,,,,,,,,,,
3537,0,3.87,0,0,2070,[710],N/A,0.0491803278689,F,african,A,ny,US,True,,,,True,,,,,,,,,
3538,0,4.3,"[5, 5, 5]",0,0,"[790, 800, 720]",middle,0.00909090909091,F,caucasian,A,ny,US,,,,,,True,,,,True,,,,
3539,30,4.0,[1],0,1940,[],lower-middle,0.0223880597015,M,caucasian,A,va,US,,,,,,,,,,,,,,
3540,33,3.95,0,0,0,0,N/A,0.03,M,caucasian,,ct,US,,,,,,,,,,,,,,
3541,0,3.88,"[5, 5, 5, 4]",0,2260,"[800, 760, 750]",upper,0.09,F,asian,A,ca,US,,,,,True,,,,,,,,,
3542,32,3.7,"[5, 5, 4]",0,0,0,upper-middle,0.15,F,caucasian,A,il,US,,,,,,,,,,,True,,,
3543,0,3.77,[4],0,0,"[770, 770]",N/A,0.154241645244,M,asian,A,wa,US,,,,,,,,,,,True,,,
3544,0,3.72,"[4, 5]",0,2270,"[760, 770]",N/A,0.0,F,caucasian,A,tx,US,,,,,,True,,,,,,,,
3545,33,3.91,0,0,0,"[740, 750, 740, 670]",N/A,0.06,M,caucasian,A,md,US,,,,,True,,,,,,,,,
3546,33,4.0,0,0,0,"[750, 730]",N/A,0.0671462829736,M,caucasian,,ny,US,,,,,,,,,,,,,,
3547,34,4.0,"[5, 5, 5, 5]",0,0,"[800, 780]",upper-middle,0.1,M,asian,A,,US,,,,,True,,,,,,,,,
3548,34,3.73,"[4, 5]",0,2210,"[790, 790, 790]",upper-middle,0.0,F,asian,A,ma,US,,,,,,True,,,,,,,,
3549,0,3.525,0,0,2040,"[750, 780]",N/A,0.0416666666667,F,caucasian,A,,international,,,,,,,,,,,,,,
3550,0,0.0,"[1, 5, 5, 5, 5, 5, 4, 4, 1]",0,2280,"[800, 780, 780]",N/A,0.0,M,caucasian,R,tx,US,,,,,,,,,,True,,,,
3551,34,3.98,"[4, 5, 5, 4]",0,2240,"[780, 760]",lower-middle,0.015,M,asian,,wi,US,,,,,,,,,,True,True,,,
3552,0,4.0,0,0,2050,[],N/A,0.00869565217391,F,asian,D,,US,,,,,,,,,,,,,,
3553,31,3.85,"[5, 5, 5, 5, 5]",0,2070,"[750, 760]",lower,0.1,M,caucasian,,ca,US,,,,,True,True,,,,,True,,,
3554,0,3.97,"[4, 4]",0,0,"[730, 630]",N/A,0.0,F,caucasian,A,mi,US,,,,,,,,,,,,,,
3555,36,4.0,"[5, 8]",0,2400,"[800, 800, 800, 800]",N/A,0.0,M,,R,ca,US,,,,,,,,,,True,True,,,
3556,0,3.9,"[8, 1, 4, 7, 5]",0,2340,"[800, 790]",N/A,0.0,,asian,A,ne,US,,,,,,True,,,,,,,,
3557,34,4.0,0,0,0,"[710, 740]",N/A,0.0,F,caucasian,A,az,US,,,,,True,,,,,,,,,
3558,33,4.0,"[5, 5, 4, 4]",0,0,[750],upper,0.0,F,caucasian,A,ny,US,,,,,,True,,,,,True,,,
3559,33,3.9831,"[5, 5, 5, 4, 5, 5, 5, 4, 4, 4]",0,2050,"[730, 710, 760]",N/A,0.00353982300885,M,,A,fl,US,True,True,,,True,True,,,,,True,,,
3560,32,3.9,0,0,0,"[770, 690]",N/A,0.0,,caucasian,A,nj,US,,,,,,,,,,,,,,
3561,0,3.83,"[5, 5]",0,2350,"[790, 800]",middle,0.0,M,caucasian,A,,US,,,,,,,,,,,,,,
3562,0,3.66,"[5, 4]",0,0,"[800, 730, 700]",N/A,0.021164021164,M,asian,A,ny,US,,True,,,,,,,,,True,,,
